SE No.,Book Title,Author,Publication Year,Original Language,Genre,No. of Words,Time,Reading Ease (no.),Reading Ease (Category),Translated By,Illustrated by,Part of a Series,Cover Page Artwork Adapted from,Cover Page Artwork Completed in,Cover Page Artist,Typefaces (on the cover and the title pages),Typefaces created by,Release Date and Time (on Standard Ebooks),Download (or Read Online)
0000649,Lady Windermere’s Fan,Oscar Wilde,1893,English,"Comedy, Drama, Satire","20,230",1 hour 14 minutes,79.46,Easy,,,No,Au Bal,1875,Berthe Morisot,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 28, 2022, 12:05 a.m.",Download
0000650,Pericles,William Shakespeare,1609,English,Drama,"20,043",1 hour 13 minutes,81.22,Easy,,,No,Achilles Wounded by Paris,1600-09,Bertholet Flemalle,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 28, 2022, 2:33 a.m.",Download
0000651,Golf Stories,P. G. Wodehouse,1919-27,English,"Comedy, Fiction, Shorts","140,485",8 hours 31 minutes,74.19,Fairly easy,,,No,"James Cromar Watt, L.L.D.",1909,Douglas Strachan,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 31, 2022, 8:36 p.m.",Download
0000652,Memoirs of a Midget,Walter de la Mare,1921,English,Fiction,"152,429",9 hours 15 minutes,73.07,Fairly easy,,,No,Sunbeams,1900,Vilhelm Hammershøi,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"April 4, 2022, 9:08 p.m.",Download
0000653,Doctor Syn,Russell Thorndike,1915,English,"Adventure, Fiction","69,919",4 hours 15 minutes,77.47,Fairly easy,,,Yes,Overschie in the Moonlight,1871,Johan Barthold Jongkind,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"April 9, 2022, 4:23 p.m.",Download
0000654,The Crock of Gold,James Stephens,1912,English,"Comedy, Fantasy, Philosophy","56,332",3 hours 25 minutes,76.45,Fairly easy,,,No,Pan in the Reed,1858,Arnold Böcklin,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"April 12, 2022, 2:31 a.m.",Download
0000655,Poetry,Voltairine de Cleyre,1914,English,Poetry,"16,846",1 hour 2 minutes,85.42,Easy,,,No,Ruin of Eldena in the Giant Mountains,1834,Caspar David Friedrich,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"April 12, 2022, 2:48 a.m.",Download
0000656,Coriolanus,William Shakespeare,1623,English,Drama,"29,911",1 hour 49 minutes,72.66,Fairly easy,,,No,"John Philip Kemble, as Coriolanus in Coriolanus by William Shakespeare",1798,Thomas Lawrence,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"April 12, 2022, 3:17 a.m.",Download
0000657,Uncle Tom’s Cabin,Harriet Beecher Stowe,1852,English,Fiction,"186,186",11 hours 18 minutes,78.08,Fairly easy,,,No,A Pastoral Visit,1881,Richard Norris Brooke,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"April 15, 2022, 4:49 p.m.",Download
0000658,The Dark Forest,Hugh Walpole,1916,English,Fiction,"95,823",5 hours 49 minutes,71.95,Fairly easy,,,No,Scotty and His Beloved Sho-Sho Gun,1919,Gayle Porter Hoskins,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"April 19, 2022, 3:27 a.m.",Download
0000659,The Path to Rome,Hilaire Belloc,1902,English,"Nonfiction, Spirituality, Travel","98,326",5 hours 58 minutes,70.87,Fairly easy,,,No,"St. Peter’s and the Vatican from the Janiculum, Rome",1757-64,Richard Wilson,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"April 20, 2022, 10:15 p.m.",Download
0000660,The Rough Riders,Theodore Roosevelt,1899,English,Nonfiction,"67,648",4 hours 6 minutes,60.79,Average difficulty,,,No,Theodore Roosevelt,1902,Fedor Encke,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"April 26, 2022, 12:27 a.m.",Download
0000661,Darby O’Gill and the Good People,Herminie Templeton Kavanagh,1903,English,"Children’s, Fantasy, Shorts","56,924",3 hours 27 minutes,76.56,Fairly easy,,,No,Delaware Water Gap,1861,George Inness,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"April 26, 2022, 1:39 a.m.",Download
0000662,Pointed Roofs,Dorothy M. Richardson,1915,English,"Autobiography, Fiction","57,798",3 hours 31 minutes,73.68,Fairly easy,,,Yes,Woman with a Birdcage,1892,József Rippl-Rónai,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"April 26, 2022, 8:34 p.m.",Download
0000663,The Deluge,Henryk Sienkiewicz,1886,Polish,Fiction,"487,044",29 hours 32 minutes,70.43,Fairly easy,Jeremiah Curtin,,Yes,Departure of John III Sobieski and Marysieńka Sobieska from Wilanów,1897,Józef Brandt,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"April 26, 2022, 9:19 p.m.",Download
0000664,The Lodger,Marie Belloc Lowndes,1913,English,"Fiction, Mystery","80,305",4 hours 53 minutes,82.04,Easy,,,No,Ennui,1914,Walter Sickert,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"April 30, 2022, 5:06 p.m.",Download
0000665,The Autobiography of John Stuart Mill,John Stuart Mill,1873,English,Autobiography,"74,333",4 hours 31 minutes,33.31,Very difficult,,,No,Portrait of John Stuart Mill,1873,George Frederic Watts,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 2, 2022, 10:39 p.m.",Download
0000666,The Last Chronicle of Barset,Anthony Trollope,1867,English,Fiction,"349,341",21 hours 11 minutes,81.12,Easy,,,Yes,"Wigmore Church, Near Ludlow",1892,Samuel Henry Baker,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 4, 2022, 9:52 p.m.",Download
0000667,The Acquisitive Society,R. H. Tawney,1920,English,Philosophy,"48,525",2 hours 57 minutes,39.1,Difficult,,,No,Safe Money,1898,Victor Dubreuil,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 5, 2022, 8:52 p.m.",Download
0000668,The Son of Tarzan,Edgar Rice Burroughs,1917,English,"Adventure, Fiction","95,678",5 hours 48 minutes,70.53,Fairly easy,,,Yes,Study Head of a Boy,1857-1931,Alice Pike Barney,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 5, 2022, 10:30 p.m.",Download
0000669,Lady Into Fox,David Garnett,1922,English,Fantasy,"24,597",1 hour 30 minutes,72.29,Fairly easy,,,No,Fox with Cubs,1912,Bruno Liljefors,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 10, 2022, 2:16 a.m.",Download
0000670,The Old Wives’ Tale,Arnold Bennett,1908,English,Fiction,"220,210",13 hours 21 minutes,74.39,Fairly easy,,,No,Girls Binding Garlands,1886,Albert Edelfelt,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 10, 2022, 2:59 a.m.",Download
0000671,Downstream,Sigfrid Siwertz,1920,Swedish,Fiction,"127,166",7 hours 43 minutes,74.29,Fairly easy,E. Classen,,No,Sommarnöje,1886,Anders Zorn,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 10, 2022, 3:49 p.m.",Download
0000672,Smoky the Cowhorse,Will James,1926,English,"Children’s, Fiction","82,678",5 hours 1 minute,74.05,Fairly easy,,,No,Wild Horse Hunters,1913,Charles Marion Russell,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 13, 2022, 9:19 p.m.",Download
0000673,Northanger Abbey,Jane Austen,1817,English,"Fiction, Satire","77,950",4 hours 44 minutes,66.88,Average difficulty,,,No,Before the Mirror,1876,Édouard Manet,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 16, 2022, 5:07 p.m.",Download
0000674,She Stoops to Conquer,Oliver Goldsmith,1773,English,"Comedy, Drama","24,045",1 hour 28 minutes,76.42,Fairly easy,,,No,Viscountess Ligonier,1771,Thomas Gainsborough,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 17, 2022, 6:47 p.m.",Download
0000675,The Vicar of Wakefield,Oliver Goldsmith,1766,English,Fiction,"63,461",3 hours 51 minutes,63.12,Average difficulty,,,No,Choosing the Wedding Gown,1845,William Mulready,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 20, 2022, 5:28 p.m.",Download
0000676,"Letters Written During a Short Residence in Sweden, Norway, and Denmark",Mary Wollstonecraft,1796,English,"Nonfiction, Travel","50,611",3 hours 5 minutes,50.6,Fairly difficult,,,No,Mary Wollstonecraft,1797,John Opie,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 26, 2022, 4:02 p.m.",Download
0000677,Short Works,Epictetus,100-199,Koine Greek,Philosophy,"16,533",1 hour 1 minute,63.73,Average difficulty,George Long,,No,A Reading from Homer,1885,Lawrence Alma-Tadema,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 26, 2022, 4:26 p.m.",Download
0000678,Lud-in-the-Mist,Hope Mirrlees,1926,English,Fantasy,"89,850",5 hours 27 minutes,68.1,Average difficulty,,,No,The Wealth of Autumn,1869,Andrew John Henry Way,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 31, 2022, 5:16 p.m.",Download
0000679,Storm Over Warlock,Andre Norton,1960,English,Science Fiction,"62,476",3 hours 48 minutes,71.44,Fairly easy,,,Yes,Burning Steamer,1858,Marcus Larson,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 31, 2022, 5:40 p.m.",Download
0000680,Riceyman Steps,Arnold Bennett,1923,English,Fiction,"96,944",5 hours 53 minutes,75.1,Fairly easy,,,No,Suspense,1916,Walter Sickert,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"June 2, 2022, 7:38 p.m.",Download
0000681,Maria Chapdelaine,Louis Hémon,1913,French,Fiction,"46,340",2 hours 49 minutes,63.12,Average difficulty,W. H. Blake,,No,A Quebec Village in Winter,1920,Clarence Gagnon,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"June 11, 2022, 3:32 a.m.",Download
0000682,Vikram and the Vampire,Richard F. Burton,1870,English,"Fiction, Shorts","72,431",4 hours 24 minutes,65.15,Average difficulty,,,No,"A Waterfall, Moonlight",1886,Ralph Albert Blakelock,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"June 11, 2022, 7:48 p.m.",Download
0000683,The Mark of Zorro,Johnston McCulley,1924,English,Fiction,"68,222",4 hours 9 minutes,74.29,Fairly easy,,,Yes,Long-Tailed Red Fox,1848-54,John Woodhouse Audubon,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"June 13, 2022, 5:59 p.m.",Download
0000684,Liberalism,L. T. Hobhouse,1911,English,"Nonfiction, Philosophy","47,781",2 hours 54 minutes,46.4,Difficult,,,No,Peace Bringing Back Prosperity,1790,Élisabeth Louise Vigée Le Brun,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"June 22, 2022, 6:26 p.m.",Download
0000685,Dialogues,Plato,-400,Greek,Philosophy,"1,203,638",72 hours 57 minutes,61.29,Average difficulty,Benjamin Jowett,,No,L’Ecole de Platon,1898,Jean Delville,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"June 25, 2022, 4:13 p.m.",Download
0000686,Pan Michael,Henryk Sienkiewicz,1887,Polish,Fiction,"204,811",12 hours 25 minutes,68.91,Average difficulty,Jeremiah Curtin,,Yes,Przewodnik,1910,Józef Brandt,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"June 27, 2022, 5:16 p.m.",Download
0000687,Some Thoughts Concerning Education,John Locke,1693,English,Philosophy,"78,084",4 hours 44 minutes,46.58,Difficult,,,No,Allegory of Art Training,1770,Willem Joseph Laquy,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"June 27, 2022, 8:21 p.m.",Download
0000688,Michael Strogoff,Jules Verne,1876,French,Fiction,"99,501",6 hours 2 minutes,70.63,Fairly easy,W. H. G. Kingston,,Yes,Morning of Execution of Streltsy,1881,Vasily Surikov,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"June 30, 2022, 12:33 a.m.",Download
0000689,Mike,P. G. Wodehouse,1909,English,Comedy,"108,984",6 hours 37 minutes,75.91,Fairly easy,,,Yes,A Country Cricket Match,1878,John Robertson Reid,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 4, 2022, 11:45 p.m.",Download
0000690,In Search of the Castaways,Jules Verne,1867-68,French,Fiction,"134,962",8 hours 11 minutes,64.3,Average difficulty,J. B. Lippincott & Co.,,Yes,Ship on the Touques,1888-95,Eugène Boudin,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 5, 2022, 4:31 a.m.",Download
0000691,Democracy,Henry Adams,1880,English,"Fiction, Satire","71,716",4 hours 21 minutes,69.72,Fairly easy,,,No,Study for the Apotheosis of Washington in the Rotunda of the United States Capitol Building,1859-62,Constantino Brumidi,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 6, 2022, 9:20 p.m.",Download
0000692,The Vicomte de Bragelonne,Alexandre Dumas,1847-50,French,Adventure,"719,457",43 hours 37 minutes,71.24,Fairly easy,George Routledge and Co.,,Yes,The Night Watch,1642,Rembrandt van Rijn,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 13, 2022, 5:45 p.m.",Download
0000693,A Prefect’s Uncle,P. G. Wodehouse,1903,English,"Comedy, Fiction","43,321",2 hours 38 minutes,75,Fairly easy,,,No,Boy in a Red Waistcoat,1890,Paul Cézanne,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 14, 2022, 7:50 p.m.",Download
0000694,The Voyages of Doctor Dolittle,Hugh Lofting,1922,English,"Adventure, Children’s, Fiction","74,535",4 hours 32 minutes,81.33,Easy,,,Yes,Birds on a Balustrade,1685,Melchior d’Hondecoeter,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 18, 2022, 8:26 p.m.",Download
0000695,Martin Eden,Jack London,1909,English,"Fiction, Satire","141,285",8 hours 34 minutes,72.66,Fairly easy,,,No,The Arguement,1906,Albert Beck Wenzell,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 19, 2022, 4:54 p.m.",Download
0000696,Fifty-One Tales,Lord Dunsany,1915,English,"Fantasy, Shorts","16,209",59 minutes,77.77,Fairly easy,,,No,Stronghold,1912,Amadeo de Souza Cardoso,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 20, 2022, 8:09 p.m.",Download
0000697,The Idiot,Fyodor Dostoevsky,1868-69,Russian,Fiction,"246,973",14 hours 59 minutes,72.16,Fairly easy,Eva M. Martin,,No,Portrait of Jacques Fabrice Herman Perk,1882,Johan Heinrich Neuman,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 21, 2022, 6:50 p.m.",Download
0000698,Short Fiction,Voltairine de Cleyre,1891-1914,English,"Fiction, Shorts","26,009",1 hour 35 minutes,67.99,Average difficulty,,,No,Fifty-Seventh Street,1908,Louis Eilshemius,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 26, 2022, 4:09 p.m.",Download
0000699,Vathek,William Beckford,1786,French,Fantasy,"36,096",2 hours 12 minutes,52.53,Fairly difficult,Samuel Henley,,No,Presentation of the Trophies,1876,Vasily Vereshchagin,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 26, 2022, 4:50 p.m.",Download
0000700,Poetry,C. S. Lewis,1919-26,English,Poetry,"26,810",1 hour 38 minutes,77.87,Fairly easy,,,No,Lights of Other Days,1906,John F. Peto,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 27, 2022, 8:20 p.m.",Download
0000701,Allan Quatermain,H. Rider Haggard,1887,English,"Adventure, Fiction","105,901",6 hours 26 minutes,71.78,Fairly easy,,,Yes,Zulu Man,1893,Antonion Zeno Shindler,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 28, 2022, 7:33 p.m.",Download
0000702,Agnes Grey,Anne Brontë,1847,English,Fiction,"68,921",4 hours 11 minutes,60.69,Average difficulty,,,No,Against the Sky,1911,Robert Lewis Reid,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 10, 2022, 3:49 p.m.",Download
0000703,The Conscious Lovers,Richard Steele,1722,English,"Comedy, Drama","27,049",1 hour 39 minutes,70.43,Fairly easy,,,No,The Declaration of Love,1724,Jean François de Troy,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 11, 2022, 8:31 p.m.",Download
0000704,The Damnation of Theron Ware,Harold Frederic,1896,English,Fiction,"120,860",7 hours 20 minutes,69.92,Fairly easy,,,No,Untitled,1901,Edward Mitchell Bannister,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 13, 2022, 1:53 a.m.",Download
0000705,Poetry,Taras Shevchenko,1838-60,Ukrainian,Poetry,"14,602",54 minutes,82.54,Easy,"Alexander Jardine Hunter, Ethel Voynich, Paul Selver, Florence Randal Livesay",,No,Portait of T. G. Shevchenko,1888,Ilya Repin,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 13, 2022, 6:12 p.m.",Download
0000706,The Golden Ass,Apuleius,101-200,Latin,Fiction,"86,686",5 hours 16 minutes,40.18,Difficult,William Adlington,,No,Fotis Sees Her Lover Lucius Transformed Into an Ass. Motif from Apeleius’ the Golden Ass,1809,Nicolai Abildgaard,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 15, 2022, 1:39 a.m.",Download
0000707,Spoon River Anthology,Edgar Lee Masters,1916,English,Poetry,"38,620",2 hours 21 minutes,75.24,Fairly easy,,,No,Ghost Dance (The Vision of Life),1897,Ralph Albert Blakelock,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 20, 2022, 6:26 p.m.",Download
0000708,Titus Andronicus,William Shakespeare,1593,English,Drama,"22,055",1 hour 21 minutes,78.99,Fairly easy,,,No,Tereus Confronted with the Head of His Son Itylus,1638,Peter Paul Rubens,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 25, 2022, 8:15 p.m.",Download
0000709,Charlotte Temple,Susanna Haswell Rowson,1791,English,Fiction,"36,829",2 hours 14 minutes,61.09,Average difficulty,,,No,Lady with a Glove,1869,Charles Auguste Émile Durand,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 25, 2022, 8:51 p.m.",Download
0000710,The Three Impostors,Arthur Machen,1895,English,"Fiction, Horror","59,012",3 hours 35 minutes,63.93,Average difficulty,,,No,El Conjuro o Las Brujas,1797-98,Francisco Goya,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 28, 2022, 9:15 p.m.",Download
0000711,The Crowd,Gustave Le Bon,1895,French,Philosophy,"51,168",3 hours 7 minutes,45.09,Difficult,T. Fisher Unwin Ltd.,,No,"Rohan Road Combat, 29 July 1830",1831,Hippolyte Lecomte,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"September 1, 2022, 9:23 p.m.",Download
0000712,The History of the Decline and Fall of the Roman Empire,Edward Gibbon,1776-88,English,Nonfiction,"1,105,982",67 hours 2 minutes,44.78,Difficult,,,No,The Triumph of Marius,1729,Giovanni Battista Tiepolo,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"September 4, 2022, 7:36 p.m.",Download
0000713,The Sport of the Gods,Paul Laurence Dunbar,1902,English,Fiction,"41,692",2 hours 32 minutes,82.34,Easy,,,No,"East Side, New York",1908,Louis Eilshemius,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"September 5, 2022, 1:11 a.m.",Download
0000714,Anne of Avonlea,L. M. Montgomery,1909,English,Fiction,"91,729",5 hours 34 minutes,81.33,Easy,,,Yes,Country School,1873,Winslow Homer,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"September 8, 2022, 9:22 p.m.",Download
0000715,An Inquiry Into the Accordancy of War with the Principles of Christianity,Jonathan Dymond,1892,English,"Philosophy, Spirituality","45,326",2 hours 45 minutes,53.85,Fairly difficult,,,No,Saint Martin and the Beggar,1599,El Greco,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"September 9, 2022, 4:55 p.m.",Download
